,match
1081,EUN1_3305237900
1082,EUN1_3305226296
1083,EUN1_3305205807
1084,EUN1_3305175454
1085,EUN1_3304730177
1086,EUN1_3304694530
1087,EUN1_3304642504
1088,EUN1_3304608971
1089,EUN1_3305169783
1090,EUN1_3305143005
1091,EUN1_3305114178
1092,EUN1_3305077282
1093,EUN1_3305040122
1094,EUN1_3304990373
1095,EUN1_3304845838
1096,EUN1_3304775658
1097,EUN1_3304370193
1098,EUN1_3304340662
1099,EUN1_3304315871
1100,EUN1_3304295711
1101,EUN1_3303588897
1102,EUN1_3303573206
1103,EUN1_3303550410
1104,EUN1_3303526674
1105,EUN1_3303493305
1106,EUN1_3302864831
1107,EUN1_3302855131
1108,EUN1_3302838327
1109,EUN1_3302809833
1110,EUN1_3302775830
1111,EUN1_3302759321
1112,EUN1_3302735943
1113,EUN1_3302702035
1114,EUN1_3302676230
1115,EUN1_3302645793
1116,EUN1_3302623470
1117,EUN1_3302600483
1118,EUN1_3302576997
1119,EUN1_3302474939
1120,EUN1_3302439878
1121,EUN1_3302421979
1122,EUN1_3302199696
1123,EUN1_3302186656
1124,EUN1_3302173133
1125,EUN1_3302151615
1126,EUN1_3302118823
1127,EUN1_3302098780
1128,EUN1_3302074397
1129,EUN1_3302052566
1130,EUN1_3301755171
1131,EUN1_3301508502
1132,EUN1_3301484267
1133,EUN1_3301388517
1134,EUN1_3301339933
1135,EUN1_3301314479
1136,EUN1_3300783157
1137,EUN1_3300755849
1138,EUN1_3300732822
1139,EUN1_3300708019
1140,EUN1_3300433059
1141,EUN1_3300409520
1142,EUN1_3300371729
1143,EUN1_3300348783
1144,EUN1_3300327066
1145,EUN1_3300162179
1146,EUN1_3300130052
1147,EUN1_3300101245
1148,EUN1_3300046335
1149,EUN1_3299971317
1150,EUN1_3299836247
1151,EUN1_3299796318
